Date,Bitcoin,Dogecoin,Etherium
2021-02-22,54207.3203125,0.0537250004708766,1781.992919921875
2021-02-23,48824.42578125,0.0473919995129108,1570.2039794921875
2021-02-24,49705.33203125,0.0565549992024898,1626.57568359375
2021-02-25,47093.8515625,0.0501670017838478,1475.7037353515625
2021-02-26,46339.76171875,0.0504800006747245,1446.03369140625
2021-02-27,46188.453125,0.0500830002129077,1459.97314453125
2021-02-28,45137.76953125,0.0480520017445087,1416.0489501953125
2021-03-01,49631.2421875,0.0505990013480186,1564.7076416015625
2021-03-02,48378.98828125,0.0502620004117488,1492.6087646484375
2021-03-03,50538.2421875,0.0505920015275478,1575.8531494140625
2021-03-04,48561.16796875,0.0500480011105537,1541.914306640625
2021-03-05,48927.3046875,0.049609001725912,1533.2750244140625
2021-03-06,48912.3828125,0.0509839989244937,1654.7415771484375
2021-03-07,51206.69140625,0.0521220006048679,1723.15380859375
2021-03-08,52246.5234375,0.061948999762535,1834.7279052734375
2021-03-09,54824.1171875,0.0579980015754699,1868.048828125
2021-03-10,56008.55078125,0.0560039989650249,1799.166259765625
2021-03-11,57805.12109375,0.0559180006384849,1826.1949462890625
2021-03-12,57332.08984375,0.0553489997982978,1772.1024169921875
2021-03-13,61243.0859375,0.0624319985508918,1924.6854248046875
2021-03-14,59302.31640625,0.0585919991135597,1854.5643310546875
2021-03-15,55907.19921875,0.0570879988372325,1791.7022705078125
2021-03-16,56804.90234375,0.0586070008575916,1806.9718017578125
2021-03-17,58870.89453125,0.0576529987156391,1823.4493408203125
2021-03-18,57858.921875,0.0573830008506774,1782.8551025390625
2021-03-19,58346.65234375,0.0583279989659786,1817.6241455078125
2021-03-20,58313.64453125,0.0589610002934932,1812.6346435546875
2021-03-21,57523.421875,0.0572340004146099,1788.217041015625
2021-03-22,54529.14453125,0.0549620017409324,1691.333984375
2021-03-23,54738.9453125,0.0535559989511966,1678.650146484375
2021-03-24,52774.265625,0.0517020002007484,1593.4134521484375
2021-03-25,51704.16015625,0.0514479987323284,1595.3592529296875
2021-03-26,55137.3125,0.0539520010352134,1702.842041015625
